사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Nov-23,2호선,215,잠실나루,27,3,"3,446","2,955","13,028","15,889","39,568","23,556","51,198","41,263","34,234","28,661","26,730","20,895","26,423","18,120","24,855","22,203","22,814","23,196","24,203","21,150","27,535","21,807","36,786","23,662","40,206","30,698","31,860","42,504","14,992","30,622","11,447","19,640","8,157","18,162","6,221","17,226","2,666","9,724",396,"2,877",5,211,0,0,0,0
Nov-23,2호선,216,잠실(송파구청),97,7,"13,349","5,044","50,966","36,164","126,432","83,391","173,856","184,975","128,323","185,639","85,505","127,153","84,973","121,367","93,239","118,454","103,592","122,836","114,030","125,444","131,592","137,214","159,193","156,546","202,177","200,549","247,782","253,681","171,329","164,874","176,953","102,839","158,781","95,068","104,637","85,766","31,653","44,842","4,750","9,421",26,626,0,0,0,0
Nov-23,2호선,217,잠실새내,46,3,"5,667",954,"17,941","8,779","61,318","17,285","89,395","30,124","56,390","31,549","36,578","24,581","33,932","26,614","34,739","31,797","34,854","34,682","30,598","36,576","34,877","42,625","37,977","50,845","42,403","68,904","45,214","94,620","32,161","64,292","28,364","37,981","27,276","33,998","27,339","31,877","14,633","16,302","2,429","5,231",10,333,0,1,0,0
Nov-23,2호선,218,종합운동장,10,1,"1,571",760,"6,356","9,526","17,465","19,934","24,786","28,031","17,873","14,464","12,426","14,308","11,525","13,704","14,123","18,317","15,952","24,304","15,849","19,250","14,567","16,803","25,137","24,834","35,635","46,251","22,632","56,662","13,757","24,027","10,652","11,370","43,762","12,166","28,172","10,760","3,993","5,812",378,"1,822",3,85,0,0,0,0
Nov-23,2호선,219,삼성(무역센터),157,0,"4,451","5,591","6,954","45,129","14,871","143,026","20,442","352,815","22,186","274,715","25,620","129,436","38,258","90,289","51,429","80,231","67,245","86,920","82,244","76,403","106,707","65,639","141,393","65,184","245,681","73,577","323,059","73,933","162,734","38,878","129,399","19,261","108,561","15,377","72,188","11,884","18,730","6,603","2,502","3,215",7,685,0,0,0,0
Nov-23,2호선,220,선릉,215,4,"4,722","6,593","11,402","44,462","21,831","121,440","36,689","288,622","35,961","233,105","39,577","114,360","49,541","70,133","59,750","63,161","68,781","71,782","79,540","58,594","103,400","52,401","132,021","51,595","217,243","60,447","301,650","62,719","152,699","38,420","95,013","22,508","91,503","20,482","73,820","18,601","26,340","10,810","4,242","4,967",17,278,0,0,0,0
Nov-23,2호선,221,역삼,74,0,"3,775","6,852","9,168","43,346","16,072","155,327","28,152","375,249","25,285","315,780","25,830","144,449","34,602","69,592","42,681","61,769","50,538","67,086","62,053","53,340","83,116","47,162","107,944","46,481","237,390","57,652","285,501","65,443","160,397","39,286","93,003","22,940","84,769","20,072","57,093","17,520","22,048","9,849","3,579","3,415",12,198,0,0,0,0
Nov-23,2호선,222,강남,162,7,"8,112","11,207","17,751","55,474","39,477","149,102","64,983","305,283","56,303","314,465","53,286","158,070","68,076","103,798","85,501","97,831","99,453","112,747","111,887","101,628","137,415","97,295","169,207","107,648","254,265","136,980","318,312","183,085","212,290","108,152","164,154","56,718","184,563","46,751","157,222","40,403","73,235","22,813","13,559","6,868",45,357,0,0,0,0
Nov-23,2호선,223,교대(법원.검찰청),12,0,"2,497","6,950","10,916","26,120","25,729","56,152","38,581","159,758","30,346","144,625","27,543","71,916","32,159","59,199","34,639","54,561","41,716","58,415","51,218","51,601","55,157","49,115","60,736","52,638","105,034","67,731","136,478","78,536","64,704","44,632","54,281","26,362","54,101","23,830","40,008","22,178","16,273","11,737","3,506","3,436",13,113,0,0,0,0
Nov-23,2호선,224,서초,4,0,"2,077","4,327","9,445","22,000","18,935","55,950","29,842","117,010","29,396","100,424","22,964","50,571","29,687","34,435","29,831","26,634","35,858","27,897","37,491","25,747","44,745","22,350","52,331","25,205","77,630","29,232","98,184","31,335","47,919","21,631","34,153","11,798","32,527","11,307","22,020","11,010","6,336","5,688",930,"1,580",5,73,0,0,0,0
